81,10228,19055,28958,15544,4981
82,28384,15915,15013,15485,15517
83,16271,31722,27260,29987,28612
84,16781,4019,3719,4226,26723
85,1474,31395,591,29545,11249
86,181,2055,1205,2419,544
87,4376,3489,2560,2411,8933
21530,1371,88,16785,21725,31263
89,4677,29899,2907,16805,668
90,26812,17612,24146,13981,1755
91,14783,30602,14855,12132,14187
92,679,2892,30078,2548,2134
93,4003,3298,23461,23374,18986
94,4644,7379,6956,25364,10647
3771,17414,2208,31385,95,23278
96,16628,26802,29954,2511,7645
97,16217,4088,14705,10721,24564
98,17719,30104,15745,6876,1496
99,22948,2966,23847,1757,29935
100,18381,1741,19793,2669,23799
4351,101,24697,3090,27110,11896
102,232,25729,14502,1027,16595
652,103,26000,940,21534,4065
104,22817,29651,22592,11372,11738
105,3783,2394,20442,22480,8252
106,29441,32438,28741,28560,15538
1486,107,4692,25673,16805,668
108,1370,32525,4668,29297,2667
30731,10909,109,2485,17506,21479
110,17478,4985,4063,1490,2881
111,29615,20103,15543,3885,17079
112,27592,1384,32404,16588,23631
113,3988,16753,665,27575,14543
114,25637,2108,351,1264,3751
115,19773,18362,17389,1391,23284
116,12703,11102,16473,17709,9141
117,2615,27967,31030,18458,18997
118,32691,32551,21020,29516,30915
119,29647,26890,29138,31916,17502
29782,120,16594,11010,23915,16576
121,17488,13087,4841,25835,2118
122,193,28645,336,23626,28009
123,17430,1890,20415,2090,21245
124,7680,7684,23857,2539,21706
26912,125,775,6324,28337,26771
126,14224,353,31542,515,27620
127,10651,16314,27684,3305,29753
128,568,6992,8962,30296,1060
129,15820,15409,13697,14568,3848
2817,20710,23879,130,31401,2878
29940,131,27211,13682,26905,27230
23281,132,1867,20367,19861,18209
30624,1731,2478,18355,133,4535
134,2113,5011,12832,17092,13497
135,30860,31383,5172,30776,20734
136,30402,4687,2649,2831,5499
2557,30911,137,15103,23832,21722
30657,138,2865,30086,3780,17494
19722,23108,1307,139,30210,17643
2592,140,17898,16265,27904,27560
27226,141,19774,18363,21562,29139
5154,10901,3010,30606,142,31008
143,2521,30933,16690,25222,25333
144,2809,30851,1217,2491,29912
1738,30409,4688,145,23277,3274
146,30723,3272,29088,32258,14237
2523,147,23891,2815,17404,312
148,8394,17279,30978,4547,216
149,20510,2828,30677,16774,24727
17314,23899,4800,2700,150,30772
31834,151,30861,32300,31324,28605
14374,152,29514,22865,1108,27709
153,21405,30974,30710,4516,31347
154,3777,8133,30459,1719,26055
155,8158,2145,4828,2536,29510
8162,3036,156,29313,1248,20672
157,28230,17387,3121,20723,13705
1775,20678,2546,158,30862,30671
159,7476,4578,31339,17395,22517
30072,2228,160,20456,21243,2365
161,7404,21221,13770,3268,13182
162,3261,31782,27716,29193,510
163,20668,1213,2516,5506,5322
164,404,17088,4686,2651,4908
165,20703,2548,2134,2080,30078
2535,166,29533,28256,28079,6877
29603,167,28062,17180,26019,29833
168,262,27576,27973,31036,28379
169,12390,13561,14560,16629,22749
170,29131,4461,12803,16140,256
171,29942,27214,1117,22874,11232
172,28930,28169,32474,20984,21038
173,20787,29640,16755,17840,19495
29604,174,30846,20729,32690,32377
175,17420,21964,27190,3902,31841
176,27404,9063,24667,27139,32471
177,4387,29877,16876,30053,15583
178,26883,989,1021,2365,21243
179,22960,21561,27171,28615,1337
27257,180,29985,3356,27940,28176
181,86,2419,14051,14457,17225
27543,182,17913,31144,27466,27327
28204,183,3917,21709,32426,934
2638,184,1394,31824,26999,28790
185,9925,17526,15815,23409,18
186,10238,10576,17074,21213,16236
187,29624,29765,16594,3170,26845
188,23841,1255,2556,4666,32198
189,16212,28802,30060,2039,24833
190,28054,4462,17119,5338,17169
191,21192,17099,32488,19397,22315
192,3950,16414,31292,31949,3562
122,193,28645,336,23626,28009
194,29903,27598,602,29784,32476
195,14938,15529,15720,30493,15017
196,4461,17558,1972,1808,29131
197,948,19505,25578,22551,3839
198,28705,32788,30894,29060,31558
29630,27264,28810,199,14536,11795
200,26785,28483,28874,347,27508
